Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MOEAD,ZDT6,12,HV,0.16093578400009995
MOEAD,ZDT6,13,GD,0.14225802203314086
MOEAD,ZDT6,13,EP,0.8052566305266999
MOEAD,ZDT6,13,HV,0.1365041702988699
MOEAD,ZDT6,14,GD,0.03776394161655813
MOEAD,ZDT6,14,EP,0.0036449251752477263
MOEAD,ZDT6,14,HV,0.330638814553336
MOEAD,ZDT6,15,GD,0.04795504619658238
MOEAD,ZDT6,15,EP,0.04667689692485415
MOEAD,ZDT6,15,HV,0.31833559528738564
MOEAD,ZDT6,16,GD,0.037604632037477485
MOEAD,ZDT6,16,EP,0.00351129394607147
MOEAD,ZDT6,16,HV,0.3308683116622537
MOEAD,ZDT6,17,GD,0.037563711317770684
MOEAD,ZDT6,17,EP,0.0031860665153384815
MOEAD,ZDT6,17,HV,0.33091512540261314
MOEAD,ZDT6,18,GD,0.0375684003866489
MOEAD,ZDT6,18,EP,0.003211689559413533
MOEAD,ZDT6,18,HV,0.33091256048530454
MOEAD,ZDT6,19,GD,0.03762628066535824
MOEAD,ZDT6,19,EP,0.004751306105747144
MOEAD,ZDT6,19,HV,0.3307891460068903
MOEAD,ZDT6,2,GD,0.1866610556220735
MOEAD,ZDT6,2,EP,0.4418837543913932
MOEAD,ZDT6,2,HV,0.1500611417888798
MOEAD,ZDT6,20,GD,0.04488246211400001
MOEAD,ZDT6,20,EP,0.03077178382503165
MOEAD,ZDT6,20,HV,0.32274604873837776
MOEAD,ZDT6,21,GD,0.23853801816364859
MOEAD,ZDT6,21,EP,0.4168493113401646
MOEAD,ZDT6,21,HV,0.11446081788967505
MOEAD,ZDT6,22,GD,0.22000489321689098
MOEAD,ZDT6,22,EP,0.3875202210290945
MOEAD,ZDT6,22,HV,0.1479995166420445
MOEAD,ZDT6,23,GD,0.0649319347004288
MOEAD,ZDT6,23,EP,0.05920350164095642
MOEAD,ZDT6,23,HV,0.3134688908332596
MOEAD,ZDT6,24,GD,0.07164044553257776
MOEAD,ZDT6,24,EP,0.09078094115249613
MOEAD,ZDT6,24,HV,0.29850427197959445
MOEAD,ZDT6,25,GD,0.03773822595105672
MOEAD,ZDT6,25,EP,0.004437583399899192
MOEAD,ZDT6,25,HV,0.3308392287104823
MOEAD,ZDT6,26,GD,0.234616708567419
MOEAD,ZDT6,26,EP,0.18026778983278013
MOEAD,ZDT6,26,HV,0.14579370596930807
MOEAD,ZDT6,27,GD,0.19452170174095826
MOEAD,ZDT6,27,EP,0.18781085109369128
MOEAD,ZDT6,27,HV,0.1689483701148678
MOEAD,ZDT6,28,GD,0.20645107936211138
MOEAD,ZDT6,28,EP,0.3058276829688954
MOEAD,ZDT6,28,HV,0.17268341053665492
MOEAD,ZDT6,29,GD,0.32227043595992116
MOEAD,ZDT6,29,EP,0.5652160628272107
